"country_name","time","emlaw","emname","emstart","emend","emlimit","emlimitdate","emlawapp","emlegapp","leglimit","subvar","discrim","ndrights","melim","melimstart","melimend","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govmis","pomviol","milinv","misclimit","v2x_libdem","v2mecenefm_ord","pandem","pandem_alt","panback","pandem_dis","pandem_dis_alt","type1","type2","type3","type4","type4_alt","type5","type6"
"Mauritania","2020-06-24",4,"Constitution (1991), article 60 - enabling the Government to demand of the Parliament the authorization of taking by ordinance, for a limited period, the measures that are normally of the domain of the law.","2020-04-01",NA,0,NA,1,NA,2,1,0,0,0,NA,NA,0,0,0,0,0,0,0,1,NA,NA,0.161,3,0.117647058823529,0.117647058823529,0.0635665882352941,0.1,0.1,2,0,0,0,0,0,0
"Mexico","2020-06-23",2,"Reglamento Interior del Consejo de Salubridad General - Article 9","2020-03-30","2020-05-30",1,"2020-04-30",0,"0",3,NA,0,0,0,NA,NA,0,0,0,1,1,0,2,2,NA,"There are several reports of essencial workers, especially medical workers, being attacked by the population",0.486,2,0.294117647058824,0.294117647058824,0.293887058823529,0.35,0.35,0,0,0,2,2,2,1
"Moldova","2020-06-17",1,"Constitution (Article 66 m), Law 212 (2004) (Article 12) on states of emergency","2020-03-17","2020-05-15",1,"2020-05-15",1,"1",2,0,0,0,1,"2020-03-24","2020-05-15",0,1,0,1,1,0,0,0,1,NA,0.445,3,0.176470588235294,0.176470588235294,0.174335294117647,0.15,0.15,0,0,0,3,3,0,0
"Mongolia","2020-06-22",4,"Law on Covid-19 Prevention","2020-04-29",NA,1,"2020-12-31",1,"1",0,NA,0,0,1,"2020-04-29",NA,1,1,0,0,0,0,1,0,NA,NA,0.522,4,0.176470588235294,0.176470588235294,0.176128941176471,0.2,0.2,0,0,0,3,3,0,0
"Morocco","2020-06-11",2,"Constitution (2011), Article 81","2020-03-20",NA,1,"2020-04-20",1,"1",1,NA,0,0,2,"2020-03-22",NA,0,0,0,2,1,1,0,1,1,NA,0.256,2,0.176470588235294,0.176470588235294,0.134445176470588,0.15,0.15,0,0,0,3,3,0,0
"Mozambique","2020-06-15",1,"Constitution Article 282","2020-04-01",NA,1,"2020-04-30",1,"1",2,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,"The government approved a law (Lei 2/2020, de 6 de Abril) that pardons crimes punishable by up to one year in prison to prevent the spread of the new coronavirus in prisons (there are exceptions for violent crimes).",0.269,2,0.0588235294117647,0,0,0.05,0,0,0,0,1,0,0,0
"Namibia","2020-06-18",1,"State of Emergency","2020-03-17",NA,1,"2020-09-17",1,"1",3,NA,0,0,1,"2020-04-17","2020-09-17",0,1,0,1,0,0,0,0,NA,NA,0.568,3,0.294117647058824,0.294117647058824,0.288677647058824,0.25,0.25,0,0,0,3,3,2,0
"Nepal","2020-06-24",7,NA,NA,NA,1,NA,NA,NA,3,NA,0,0,0,NA,NA,0,1,0,0,0,1,0,1,NA,NA,0.464,3,0.294117647058824,0.294117647058824,0.292592941176471,0.25,0.25,0,0,0,3,3,2,0
"Netherlands","2020-06-17",6,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.784,4,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand","2020-06-20",1,"Civil Defence Emergency Management Act 2002 (Section 66)","2020-03-25","2020-05-13",1,"2020-04-01",0,"0",0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.815,4,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua","2020-06-24",6,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,1,1,0,2,1,0,3,0,0,NA,0.058,0,0.176470588235294,0.176470588235294,0.0385665882352941,0.3,0.3,0,0,0,3,3,0,0
"Niger","2020-06-14",1,"Constitution (2010), Articles 67, 68, 99, 105, 175;
Law 98-024 of 1998, modified and updated by law 2015-07 of 2015 ( loi n° 98-024 du 11 août 1998, portant réglementation de l’état d’urgence, modifiée et complétée par la loi n° 2015-07 du 10 avril 2015) on the application of the provisions on emergency - extraordinary measures.","2020-03-27",NA,1,NA,1,"1",2,1,0,0,0,NA,NA,1,1,0,1,1,1,0,1,0,NA,0.344,3,0.176470588235294,0.176470588235294,0.159292235294118,0.15,0.15,0,0,0,3,3,0,0
"Nigeria","2020-06-24",4,"Quarantine Act of 1926","2020-03-30",NA,1,"2020-06-29",0,"The Quarantine Act of 1926, which was adopted during the colonial period, does not require that the legislative approval of emergency response measures. Nevertheless, the legislature is current debating new legislation on emergency responses to disease.",2,2,0,0,1,NA,NA,1,1,1,2,1,1,0,3,1,NA,0.339,3,0.294117647058824,0.294117647058824,0.263622352941177,0.25,0.25,0,0,0,3,3,0,2
"North Korea","2020-06-22",1,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.014,0,0.176470588235294,0,0,0.15,0,0,0,0,3,0,0,0
"North Macedonia","2020-06-18",1,"Constitution (Article 125)","2020-03-18",NA,1,"2020-06-23",1,"0",0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,1,NA,0.432,3,0.0588235294117647,0.0588235294117647,0.0577355294117647,0.05,0.05,0,1,0,0,0,0,0
"Norway","2020-06-20",4,"The Corona Act (Koronaloven)","2020-03-27","2020-05-27",1,"2020-04-27",1,"1",0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.825,4,0,0,0,0,0,0,0,0,0,0,0,0
"Oman","2020-06-22",4,NA,NA,NA,0,NA,NA,NA,3,2,3,0,3,"2020-03-22",NA,1,1,1,0,0,0,1,0,1,NA,0.143,0,0.529411764705882,0.529411764705882,0.259519764705882,0.5,0.5,2,2,0,3,3,2,0
"Pakistan","2020-06-16",6,NA,NA,"2020-05-09",1,NA,NA,NA,0,2,1,1,0,NA,NA,0,0,0,0,0,0,0,1,1,NA,0.211,2,0.294117647058824,0.235294117647059,0.156686117647059,0.25,0.2,0,1,3,1,0,0,0
"Panama","2020-06-05",4,"Código Sanitario (Ley 66 de 10 de noviembre de 1940)","2020-03-25","2020-06-01",0,NA,0,"0",2,1,3,0,0,NA,NA,0,0,0,0,0,0,0,0,0,"Panama established a Alcohol Prohibition during the pandemic",0.592,3,0.176470588235294,0.176470588235294,0.170496,0.15,0.15,1,2,0,0,0,0,0
"Papua New Guinea","2020-06-23",1,"Part X: Emergency Provisions","2020-03-24","2020-06-16",1,"2020-04-07",0,"0",2,NA,0,0,0,NA,NA,1,0,0,1,1,0,0,0,NA,NA,0.373,3,0.117647058823529,0.117647058823529,0.110056941176471,0.1,0.1,0,0,0,2,2,0,0
"Paraguay","2020-06-22",2,"Constitution articles 68 and 238 and Law Nº 836 (Código Sanitario) Article 13","2020-03-16",NA,0,NA,0,"0",2,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,1,"Municipal elections postponed to 2020-11-29",0.427,3,0.117647058823529,0.117647058823529,0.115139294117647,0.1,0.1,2,0,0,0,0,0,0
"Peru","2020-06-11",1,"Article 137 of the Constitution","2020-03-16",NA,1,"2020-03-31",0,"0",2,1,3,0,0,NA,NA,0,0,0,0,0,0,0,1,1,NA,0.674,4,0.117647058823529,0.117647058823529,0.103399529411765,0.1,0.1,0,2,0,0,0,0,0
"Philippines","2020-06-23",1,NA,NA,NA,1,NA,NA,NA,2,NA,1,1,1,NA,NA,0,1,1,2,0,0,0,2,NA,NA,0.286,3,0.470588235294118,0.470588235294118,0.384384,0.4,0.4,0,1,3,3,3,0,1
"Poland","2020-06-19",4,"Act on preventing and combating infections and infectious diseases (5 December 2008) (Article 46, paragraph 2 and 4), amended by Act on specific solutions related to the prevention and combating COVID and other infectious diseases and crises they caused (2 March 2020)","2020-03-20",NA,0,NA,0,"0",1,0,0,0,0,NA,NA,0,0,1,0,0,1,0,0,1,"Presidential elections postponed",0.5,2,0.294117647058824,0.294117647058824,0.294117647058824,0.25,0.25,2,0,0,3,3,0,0
"Portugal","2020-06-16",1,"Constitution articles 19, 134 and 138, Law n.º 44/86, Organic Law n.º 1/2011, Organic Law n.º 1/2012","2020-03-19","2020-05-02",1,"2020-04-02",1,"1",1,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0.817,4,0,0,0,0,0,0,0,0,0,0,0,0
"Qatar","2020-06-23",5,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,NA,NA,0,0,0,0,0,0,0,1,0,NA,0.086,1,0.294117647058824,0.176470588235294,0.0554851764705882,0.25,0.15,0,3,0,2,0,0,0
"Republic of the Congo","2020-06-19",1,"Constitution (2015), articles 93, 157.","2020-03-31",NA,1,"2020-04-19",1,"1",2,0,0,0,0,NA,NA,1,1,0,1,0,0,2,0,0,NA,0.099,0,0.176470588235294,0.176470588235294,0.062964,0.25,0.25,0,0,0,3,3,0,0
"Romania","2020-06-19",1,"Article 100 of the Constitution (Article 93, paragraph 1), Emergency Ordinance of Government no. 1/1999 (Article 3 and Article 10), approved with modifications and additions by Law no. 453/2004","2020-03-16","2020-05-14",1,"2020-05-14",1,"1",2,0,0,0,1,"2020-03-16","2020-05-14",0,0,0,1,0,0,0,1,1,NA,0.434,3,0.0588235294117647,0.0588235294117647,0.0577985882352941,0.05,0.05,0,0,0,1,1,0,0
"Russia","2020-06-05",4,"Constitution (Article 80)","2020-03-30","2020-05-14",1,"2020-05-12",0,"0",0,2,1,0,2,"2020-03-31",NA,1,1,0,2,1,0,1,1,0,"1) abuse of restrictions on freedom of assembly 2) abuse of mass surveillance technology",0.099,0,0.235294117647059,0.235294117647059,0.083952,0.25,0.25,0,1,0,3,3,0,0
"Rwanda","2020-06-23",5,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,NA,NA,0,1,1,0,0,1,0,1,0,NA,0.154,2,0.176470588235294,0.176470588235294,0.0919651764705882,0.15,0.15,0,0,0,3,3,0,0
"Saudi Arabia","2020-06-12",5,NA,NA,NA,NA,NA,NA,NA,5,NA,2,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.04,0,0.529411764705882,0.352941176470588,0.0542117647058824,0.45,0.3,0,3,0,3,0,3,0
"Senegal","2020-06-14",1,"Constitution (2001, rev.2016), Article 69 and Law n°1969/29 du 29 avril 1969, on the state of urgency and state of siege.","2020-03-23",NA,1,"2020-04-23",1,"1",2,0,0,0,0,NA,NA,0,0,0,0,0,1,0,1,0,NA,0.561,3,0.176470588235294,0.176470588235294,0.173844,0.15,0.15,0,0,0,3,3,0,0
"Serbia","2020-06-17",1,"Constitution (Article 200, paragraph 5)","2020-03-15","2020-05-06",1,"2020-05-06",1,"1",3,0,3,0,2,"2020-03-28","2020-04-03",0,1,0,2,1,1,2,0,1,NA,0.254,0,0.411764705882353,0.411764705882353,0.312091294117647,0.45,0.45,0,2,0,3,3,2,0
"Sierra Leone","2020-06-24",1,"Constitution (Subsection 1 of Section 29 of the Constitution of Sierra Leone, 1991, Act No. 6 of 1991)","2020-03-24","2021-03-24",1,"2021-03-24",1,"1",3,0,0,0,0,NA,NA,0,1,0,1,0,1,0,0,0,NA,0.395,3,0.294117647058824,0.294117647058824,0.281147058823529,0.25,0.25,0,0,0,3,3,2,0
"Singapore","2020-06-10",4,"COVID 19 (Temporary Measures) Act 2020 > COVID-19 CONTROL ORDERS","2020-03-27",NA,1,"2020-03-27",1,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0.345,1,0.117647058823529,0,0,0.1,0,0,0,0,2,0,0,0
"Slovakia","2020-06-22",1,"Constitutional Law No. 227/2002 (Article 5)","2020-03-16","2020-06-13",1,"2020-06-13",0,"0",0,0,4,0,0,NA,NA,0,0,0,0,0,0,0,0,1,NA,0.717,4,0.176470588235294,0.176470588235294,0.143231294117647,0.15,0.15,0,3,0,0,0,0,0
"Slovenia","2020-06-22",3,"Contageous Diseases Act (Article 7)","2020-03-12","2020-05-31",1,"2020-05-31",0,"1",0,0,0,0,0,NA,NA,0,0,0,1,1,0,0,0,0,NA,0.714,3,0.117647058823529,0.117647058823529,0.096096,0.1,0.1,0,0,0,2,2,0,0
"Somalia","2020-06-20",5,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,0,NA,NA,1,1,0,2,1,1,0,2,NA,NA,0.102,2,0.352941176470588,0.352941176470588,0.129312,0.3,0.3,2,0,0,3,3,0,1
"South Africa","2020-06-03",3,"National state of disaster","2020-03-15",NA,1,"2020-07-16",0,"0",2,0,0,0,2,"2020-04-29","2020-07-16",0,1,0,0,1,1,0,3,1,NA,0.575,3,0.294117647058824,0.294117647058824,0.2875,0.25,0.25,0,0,0,3,3,0,2
"South Korea","2020-06-23",7,NA,NA,NA,1,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.78,4,0,0,0,0,0,0,0,0,0,0,0,0
"South Sudan","2020-06-22",5,NA,"2020-03-16",NA,NA,NA,0,"0",0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.064,0,0.176470588235294,0,0,0.15,0,0,0,0,3,0,0,0
"Spain","2020-06-17",1,"Ley Orgánica 4/1981, de 1 de junio, de los estados de alarma, excepción y sitio.","2020-03-14",NA,1,"2020-03-29",1,"1",2,2,0,0,0,NA,NA,0,0,0,1,0,0,0,1,1,NA,0.815,4,0.0588235294117647,0.0588235294117647,0.0354764705882353,0.05,0.05,0,0,0,1,1,0,0
"Sri Lanka","2020-06-17",5,NA,NA,NA,1,NA,NA,NA,3,0,2,1,0,NA,NA,0,0,0,0,0,0,1,1,1,NA,0.469,3,0.470588235294118,0.470588235294118,0.468779294117647,0.45,0.45,0,3,3,0,0,2,0
"Sudan","2020-06-22",2,NA,NA,NA,NA,NA,NA,NA,5,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,NA,0.087,3,0.176470588235294,0.176470588235294,0.0560689411764706,0.15,0.15,0,0,0,0,0,3,0
"Sweden","2020-06-20",4,"Temporary authorisations in the Communicable Diseases Act due to the virus causing covid-19","2020-04-18",NA,1,"2020-06-30",1,"1",0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.829,4,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","2020-06-20",4,"Ordinance on Measures to Combat the Coronavirus (COVID-19) (COVID-19 Ordinance 2)","2020-03-13",NA,1,"2020-09-13",0,"0",2,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.827,4,0,0,0,0,0,0,0,0,0,0,0,0
"Syria","2020-06-05",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,1,1,0,2,1,0,1,2,0,"Spyware in citizens’ cell phones through a coronavirus prevention application, Iranian-backed fighters are quarantined near the frontlines in Idlib and Aleppo, supossedly in fear of the spread of the virus",0.043,0,0.235294117647059,0.235294117647059,0.0387303529411765,0.25,0.25,0,0,0,3,3,0,1
"Taiwan","2020-06-10",2,"Special Act for Prevention, Relief and Revitalization Measures for Severe Pneumonia with Novel Pathogens","2020-02-25",NA,1,"2020-06-30",NA,NA,0,NA,0,0,1,NA,NA,0,0,0,0,0,0,0,0,0,NA,0.697,3,0.0588235294117647,0.0588235294117647,0.049692,0.05,0.05,0,0,0,1,1,0,0
"Tajikistan","2020-06-09",4,"Constitution (Article 69)","2020-06-05",NA,1,"2020-12-31",0,"0",0,0,0,0,0,NA,NA,0,0,0,1,1,1,1,0,0,NA,0.062,0,0.176470588235294,0.176470588235294,0.0410512941176471,0.2,0.2,0,0,0,3,3,0,0
"Tanzania","2020-06-20",5,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,1,0,0,0,0,2,0,NA,NA,0.342,2,0.176470588235294,0.176470588235294,0.158848941176471,0.25,0.25,0,0,0,3,3,0,0
"Thailand","2020-06-17",1,NA,NA,NA,1,NA,NA,NA,3,NA,0,0,2,NA,NA,0,0,1,1,0,0,0,0,NA,NA,0.152,1,0.294117647058824,0.294117647058824,0.151642352941176,0.25,0.25,0,0,0,3,3,2,0
"The Gambia","2020-06-21",1,"State of Public Emergency","2020-03-27",NA,1,"2020-07-01",1,"1",1,0,0,0,0,NA,NA,0,0,0,0,0,0,2,0,NA,NA,0.459,3,0,0,0,0.1,0.1,0,0,0,0,0,0,0
"Togo","2020-06-14",1,"Constitution art 86 and 94. 
Law No. 2020-005 of March 30, 2020","2020-04-02",NA,1,"2020-07-02",1,"1",1,0,0,0,0,NA,NA,0,0,0,0,0,0,0,2,1,NA,0.179,2,0.117647058823529,0.0588235294117647,0.0345785882352941,0.1,0.05,0,0,0,1,0,0,1
"Tunisia","2020-06-04",4,NA,NA,NA,0,NA,0,NA,3,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,NA,0.655,3,0.235294117647059,0.235294117647059,0.212682352941176,0.2,0.2,2,0,0,0,0,2,0
"Turkey","2020-06-09",4,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,NA,NA,1,1,0,2,1,1,0,1,NA,NA,0.101,0,0.294117647058824,0.294117647058824,0.106822352941176,0.25,0.25,0,0,0,3,3,2,0
"Turkmenistan","2020-06-09",6,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,3,0,0,NA,0.053,0,0.176470588235294,0,0,0.3,0.15,0,0,0,3,0,0,0
"Uganda","2020-06-14",4,"Public Health Act of Uganda (Cap 281, 2000)","2020-03-13",NA,0,NA,0,"0",2,0,1,0,0,NA,NA,0,1,0,1,0,1,0,3,1,NA,0.222,2,0.470588235294118,0.470588235294118,0.325112470588235,0.4,0.4,2,1,0,3,3,0,2
"Ukraine","2020-06-23",3,"Code of Civil Protection (Article 14, part 2 of Article 78)","2020-03-25","2020-04-24",1,"2020-04-24",0,"0",0,1,0,0,0,NA,NA,0,1,1,1,0,1,0,0,1,NA,0.292,3,0.176470588235294,0.176470588235294,0.145931294117647,0.15,0.15,0,0,0,3,3,0,0
"United Arab Emirates","2020-06-21",5,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.091,0,0.176470588235294,0.0588235294117647,0.0194632941176471,0.15,0.05,0,0,0,3,1,0,0
"United Kingdom","2020-06-20",4,"Public Health (Control of Disease) Act 1984","2020-03-26",NA,1,"2020-09-26",1,"1",0,NA,0,0,0,NA,NA,0,0,0,1,0,0,0,0,NA,NA,0.79,4,0.0588235294117647,0.0588235294117647,0.039035294117647,0.05,0.05,0,0,0,1,1,0,0
"United States of America","2020-06-04",1,"National Emergency Act","2020-03-13",NA,0,NA,0,"0",0,3,0,0,0,NA,NA,0,0,0,1,1,0,2,0,1,NA,0.7,3,0.235294117647059,0.235294117647059,0.197647058823529,0.3,0.3,2,0,0,2,2,0,0
"Uruguay","2020-06-11",2,"Ley N° 9202 - Ley Organica de Salud Publica","2020-03-13",NA,0,NA,0,"0",2,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,"The government has temporarily reduced the salaries of politicians to use the money in policies against covid-19.
Local elections were postponed from 2020-05-10 to 2020-10-04.",0.78,4,0.117647058823529,0.117647058823529,0.0807529411764706,0.1,0.1,2,0,0,0,0,0,0
"Uzbekistan","2020-06-15",4,"Decree 5537","2020-03-24",NA,1,"2020-08-01",0,"0",0,1,0,0,2,"2020-03-24",NA,0,1,0,0,0,0,0,0,1,"privacy violations",0.088,0,0.176470588235294,0.176470588235294,0.0566512941176471,0.15,0.15,0,0,0,3,3,0,0
"Venezuela","2020-06-05",1,"Article 338 of the Constitution","2020-03-13",NA,1,"2020-04-12",1,"0",3,1,0,0,0,NA,NA,0,1,0,2,1,1,0,0,1,"Maduro and Guaidó reached an agreement to work together against the pandemic. // Doctors were harassed and detained for speaking about the poor conditions of the health system and about suspected cases not officially released.",0.086,0,0.294117647058824,0.294117647058824,0.0924752941176471,0.25,0.25,0,0,0,3,3,2,0
"Vietnam","2020-06-17",5,NA,NA,NA,1,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.122,0,0.176470588235294,0,0,0.15,0,0,0,0,3,0,0,0
"Yemen","2020-06-16",6,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,NA,NA,0,0,0,1,0,0,0,0,NA,NA,0.042,0,0.176470588235294,0.0588235294117647,0.00946729411764706,0.15,0.05,0,0,0,3,1,0,0
"Zambia","2020-06-23",4,NA,NA,NA,0,NA,NA,NA,4,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,1,NA,NA,0.274,1,0.411764705882353,0.294117647058824,0.234028235294118,0.35,0.25,2,0,0,2,0,3,0
"Zimbabwe","2020-06-23",3,NA,NA,NA,0,NA,NA,NA,2,NA,0,0,0,NA,NA,0,1,0,2,1,1,0,1,NA,"Three opposition leaders were allegedly kidnapped and tortured by police for having attended a protest against the government's covid-19 response.",0.175,2,0.294117647058824,0.294117647058824,0.169852941176471,0.25,0.25,2,0,0,3,3,0,0
