"country_name","time","emlaw","emname","emstart","emend","emlimit","emlimitdate","emlawapp","emlegapp","leglimit","subvar","discrim","ndrights","melim","melimstart","melimend","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govmis","pomviol","milinv","misclimit","v2x_libdem","v2mecenefm_ord","pandem","pandem_alt","panback","pandem_dis","pandem_dis_alt","type1","type2","type3","type4","type4_alt","type5","type6"
"Bulgaria","2020-06-14",1,"Constitution (Article 84, point 12)","2020-03-13","2020-05-13",1,"2020-05-13",1,"1",2,1,4,0,0,NA,NA,0,0,0,1,0,0,0,0,0,"privacy concerns",0.488,3,0.235294117647059,0.235294117647059,0.235158588235294,0.2,0.2,0,3,0,1,1,0,0
"Burkina Faso","2020-06-12",2,"Public Health Code (1996), article 66","2020-03-26",NA,0,NA,0,"0",2,1,0,0,0,NA,NA,0,0,0,0,0,0,0,1,1,NA,0.273,3,0.117647058823529,0.117647058823529,0.0933981176470588,0.1,0.1,2,0,0,0,0,0,0
"Burma/Myanmar","2020-06-23",5,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,1,1,1,2,0,1,0,1,NA,NA,0.246,3,0.235294117647059,0.235294117647059,0.174573176470588,0.2,0.2,0,1,0,3,3,0,0
"Burundi","2020-06-23",5,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,1,1,0,2,0,0,3,0,NA,NA,0.059,0,0.176470588235294,0.176470588235294,0.0391898823529412,0.3,0.3,0,0,0,3,3,0,0
"Cambodia","2020-06-16",4,"Law on National Administration in the State of Emergency",NA,NA,0,NA,NA,NA,0,NA,0,0,1,NA,NA,0,0,1,1,0,0,0,0,NA,NA,0.088,1,0.294117647058824,0.294117647058824,0.0944188235294118,0.25,0.25,2,0,0,3,3,0,0
"Cameroon","2020-06-17",5,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,0,0,0,2,0,0,0,2,0,NA,0.145,2,0.176470588235294,0.176470588235294,0.0875117647058824,0.15,0.15,0,0,0,2,2,0,1
"Canada","2020-06-11",6,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0.776,4,0,0,0,0,0,0,0,0,0,0,0,0
"Central African Republic","2020-06-24",5,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0.213,2,0.0588235294117647,0,0,0.05,0,0,0,0,1,0,0,0
"Chad","2020-06-17",1,"Constitution (2018) Articles 96, 97, 127, 130.
Order 044 (Ordonnance n° 44 du 27 octobre 1962 relative à l'état d'urgence).","2020-04-25",NA,1,"2020-05-16",1,"1",2,1,0,0,0,NA,NA,0,1,0,0,1,1,0,1,0,NA,0.11,0,0.176470588235294,0.176470588235294,0.0691058823529412,0.15,0.15,0,0,0,3,3,0,0
"Chile","2020-06-18",3,"Constitution articles 19, 32, 39, 41 and 43 and Law n. 18415 (Ley Organica Constitucional de los Estados de Excepcion)","2020-03-19",NA,1,"2020-06-16",0,"0",2,2,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,"Constitutional Referendum was postponed to 2020-10-25",0.762,3,0,0,0,0,0,0,0,0,0,0,0,0
"China","2020-06-10",6,NA,NA,NA,0,NA,1,NA,0,3,1,0,1,NA,NA,1,1,1,2,1,0,0,0,NA,NA,0.05,0,0.352941176470588,0.352941176470588,0.0670588235294118,0.3,0.3,2,1,0,3,3,0,0
"Colombia","2020-06-22",1,"Constitution article 215 and Law 137 from 1994","2020-05-06","2020-06-05",1,"2020-06-05",0,"0",2,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,2,1,NA,0.503,3,0.0588235294117647,0.0588235294117647,0.0588214117647059,0.05,0.05,0,0,0,0,0,0,1
"Costa Rica","2020-06-12",1,"Ley Nacional de Emergencias y Prevención del Riesgo (Ley 8488 del 22 de noviembre de 2005)","2020-03-16",NA,0,NA,0,"0",2,1,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,"Costa Rica established a Vehicle Restriction Schedule, that limits when vehicles can circulate according to the license plate ending number.",0.816,4,0.117647058823529,0.117647058823529,0.070656,0.1,0.1,2,0,0,0,0,0,0
"Croatia","2020-06-15",4,"Civil Protection Act (Article 22a)","2020-03-19","2020-05-04",1,"2020-05-04",0,"0",2,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,NA,0.545,2,0.0588235294117647,0,0,0.05,0,0,0,0,1,0,0,0
"Cuba","2020-06-24",4,"Decreto 139 de 22 de febrero de 1988 “Reglamento de la Ley de la Salud Pública”","2020-05-12",NA,0,NA,NA,NA,2,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.09,0,0.294117647058824,0.117647058823529,0.0385411764705882,0.25,0.1,2,0,0,3,0,0,0
"Czech Republic","2020-06-15",1,"Constitutional Act of Law No. 110/1998, Crisis Act No. 240/2000","2020-03-12","2020-05-17",1,"2020-05-17",1,"1",2,1,0,0,0,NA,NA,0,0,0,1,0,0,0,0,1,NA,0.697,3,0.0588235294117647,0.0588235294117647,0.049692,0.05,0.05,0,0,0,1,1,0,0
"Democratic Republic of the Congo","2020-06-18",1,"Constitution (2005), articles 85, 86, 144, 145.
","2020-03-25",NA,1,"2020-04-25",1,"1",4,2,0,0,0,NA,NA,0,1,0,0,0,1,2,2,0,NA,0.139,1,0.411764705882353,0.411764705882353,0.197118352941176,0.45,0.45,0,0,0,3,3,3,1
"Denmark","2020-06-11",4,"Act no. 133 of 12 March 2020 amending the Danish on Measures against Infectious and Other Communicable Diseases (Expansion of measures to prevent and contain contamination and to secure capacity resources, etc.)","2020-03-17",NA,1,NA,1,"1",0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0.858,4,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic","2020-06-19",1,"Constitution Article 262 and Law n. 21-18","2020-03-19",NA,1,"2020-04-13",1,"1",0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"Presidential and legislative elections postponed from 2020-05-17 to 2020-07-05",0.322,3,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador","2020-06-15",1,"Ley de Seguridad Publica y Del Estado","2020-03-16",NA,1,"2020-05-15",0,"0",2,2,0,0,0,NA,NA,0,0,0,0,0,0,0,2,1,"Ecuador has general elections planned for February 2021, but the Electoral Council is debating its postponement to avoid gatherings at rallies",0.502,4,0.0588235294117647,0.0588235294117647,0.0588225882352941,0.05,0.05,0,0,0,0,0,0,1
"Egypt","2020-06-20",1,NA,NA,NA,1,NA,NA,NA,0,NA,0,1,2,NA,NA,1,1,1,2,0,1,0,1,NA,NA,0.126,1,0.352941176470588,0.352941176470588,0.155469176470588,0.3,0.3,0,0,3,3,3,0,0
"El Salvador","2020-06-24",1,"Ley de Protección Civil, Prevención y Mitigación de Desastres article 24, Constitution articles 29 and 30","2020-03-14","2020-06-15",1,"2020-04-13",1,"1",3,NA,0,1,2,"2020-03-29","2020-03-31",1,1,1,2,1,0,1,1,NA,NA,0.437,3,0.470588235294118,0.470588235294118,0.463117176470588,0.45,0.45,0,0,3,3,3,2,0
"Eritrea","2020-06-08",5,NA,NA,NA,NA,NA,NA,NA,4,NA,0,1,0,NA,NA,0,0,0,0,0,0,0,0,1,NA,0.012,0,0.529411764705882,0.352941176470588,0.0167378823529412,0.45,0.3,0,0,3,3,0,3,0
"Ethiopia","2020-06-09",1,"State of emergency","2020-04-08",NA,1,NA,NA,NA,4,1,0,0,2,NA,NA,0,0,0,0,1,0,0,0,NA,NA,0.176,3,0.352941176470588,0.352941176470588,0.204739764705882,0.3,0.3,0,0,0,3,3,3,0
"Finland","2020-06-11",1,"Emergency Powers Act","2020-03-16","2020-06-16",1,"2020-04-13",1,"1",0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0.813,4,0,0,0,0,0,0,0,0,0,0,0,0
"France","2020-06-09",2,"Constitution, Article 16 ('presidential exceptional powers');
Constitution, article 36 (on the 'state of siege') together with Article L. 2121-1 of the Defence Code;   
Law No 55-385 of 1955 on the 'state of emergency'","2020-03-23",NA,1,"2020-05-24",0,"1",2,0,1,0,0,NA,NA,0,0,0,0,0,0,0,1,0,NA,0.783,4,0.0588235294117647,0.0588235294117647,0.0399790588235294,0.05,0.05,0,1,0,0,0,0,0
"Gabon","2020-06-17",1,"Constitution (1991), Article 25;
Constitution, article 47 (pertenant to the new law that gives the government similar powers as a state of emergency after May 11)
loi n°11/90 du 16 novembre 1990 relative à l’état d’urgence","2020-04-10",NA,1,"2020-04-25",1,"1",2,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,NA,0.2,2,0.0588235294117647,0,0,0.05,0,0,0,0,1,0,0,0
"Georgia","2020-06-15",1,"Constitution (Article 71(3) and (4)),  Law on State of Emergency (Article 2(3))","2020-03-21","2020-05-22",1,"2020-05-22",1,"1",1,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,NA,0.504,3,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","2020-06-20",6,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.779,4,0,0,0,0,0,0,0,0,0,0,0,0
"Ghana","2020-06-12",4,"The Imposition of Restrictions Act (Act 1012)","2020-03-23",NA,1,"2020-07-31",0,"0",3,2,0,0,0,NA,NA,0,1,1,1,1,1,1,1,NA,"The new act is a problem for privacy, as it grants the government wide powers to intercept communication and the services of the network provider at the disposal of the state for mass dissemination of information.",0.608,3,0.294117647058824,0.294117647058824,0.280395294117647,0.3,0.3,0,0,0,3,3,2,0
"Greece","2020-06-09",4,"Constitution, art 44, ''Act of Legislative order''
1. Under extraordinary circumstances of an urgent and unforeseeable need, the President of the Republic may, upon the proposal of the Cabinet, issue acts of legislative content. Such acts shall be submitted to Parliament for ratification, as specified in the provisions of article 72 paragraph 1, within forty days of their issuance or within forty days from the convocation of a parliamentary session. Should such acts not be submitted to Parliament within the above time-limits or if they should not be ratified by Parliament within three months of their submission, they will henceforth cease to be in force.","2020-03-23","2020-05-04",1,"2020-04-06",1,"1",1,0,1,0,0,NA,NA,0,0,0,1,0,0,0,1,0,NA,0.762,3,0.117647058823529,0.117647058823529,0.085344,0.1,0.1,0,1,0,1,1,0,0
"Guatemala","2020-06-22",3,"Constitution articles 138, 139 and 183f and Decree Number 7 (Ley de Orden Publico)","2020-03-06",NA,1,"2020-04-05",1,"1",2,NA,0,0,0,NA,NA,0,0,0,2,1,1,1,1,NA,NA,0.396,3,0.176470588235294,0.176470588235294,0.168835764705882,0.2,0.2,0,0,0,3,3,0,0
"Guinea","2020-06-16",1,"Constitution (2010), article 90;
Loi organique No. L/1991/016 du 1991 relative à l'état d'urgence et a l'état de siège","2020-03-27",NA,1,"2020-04-27",1,"1",2,1,0,0,0,NA,NA,0,0,0,0,0,0,0,2,1,NA,0.166,3,0.0588235294117647,0.0588235294117647,0.0325750588235294,0.05,0.05,0,0,0,0,0,0,1
"Haiti","2020-06-11",2,"'ARRETE DU 19 MARS 2020 DECLARANT L'ETAT D'URGENCE SANITAIRE SUR TOUTE L'ETENDUE DU TERRITOIRE''","2020-03-19",NA,1,"2020-04-19",1,"0",5,0,0,0,0,NA,NA,0,0,0,0,1,1,0,0,0,NA,0.239,2,0.352941176470588,0.352941176470588,0.256770352941176,0.3,0.3,0,0,0,3,3,3,0
"Honduras","2020-06-23",2,"Constitution article 187","2020-03-16",NA,1,"2020-03-23",1,"1",2,NA,0,0,2,"2020-03-16","2020-03-21",1,1,1,1,0,0,0,2,1,"The president tested positive for covid-19",0.195,3,0.235294117647059,0.235294117647059,0.147741176470588,0.2,0.2,0,0,0,3,3,0,1
"Hungary","2020-06-17",1,"Fundamental Law of Hungary (Article 53)","2020-03-11","2020-06-17",0,NA,1,"1",3,0,0,0,2,"2020-03-30","2020-06-17",0,0,0,2,1,0,0,0,1,"postponed elections",0.402,2,0.352941176470588,0.352941176470588,0.339382588235294,0.3,0.3,1,0,0,3,3,2,0
"India","2020-06-24",3,NA,NA,NA,NA,NA,NA,NA,4,NA,1,0,1,NA,NA,1,1,1,2,1,1,0,2,NA,NA,0.364,2,0.470588235294118,0.470588235294118,0.435772235294118,0.4,0.4,0,1,0,3,3,3,1
"Indonesia","2020-06-17",2,NA,NA,NA,0,NA,NA,NA,2,NA,0,0,0,NA,NA,0,0,1,2,0,0,0,0,NA,NA,0.494,3,0.294117647058824,0.294117647058824,0.294075294117647,0.25,0.25,2,0,0,3,3,0,0
"Iran","2020-06-20",5,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,"2020-04-08",NA,1,1,1,2,1,1,0,2,NA,NA,0.144,0,0.235294117647059,0.235294117647059,0.116013176470588,0.2,0.2,0,0,0,3,3,0,1
"Iraq","2020-06-20",5,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,1,1,0,1,1,1,0,0,NA,NA,0.24,2,0.176470588235294,0.176470588235294,0.128752941176471,0.15,0.15,0,0,0,3,3,0,0
"Ireland","2020-06-20",4,"Health (Preservation and Protection and other Emergency Measures in the Public Interest) Act 2020","2020-03-20",NA,1,"2020-11-09",1,"1",0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.799,3,0,0,0,0,0,0,0,0,0,0,0,0
"Israel","2020-06-22",1,"Article 39: State of Emergency","2020-03-19",NA,1,"2020-03-26",0,"0",0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.574,3,0,0,0,0,0,0,0,0,0,0,0,0
"Italy","2020-06-15",1,"Legislative Decree No. 1 of 2 January 2018","2020-01-31",NA,1,"2020-07-31",0,"0",0,3,0,0,0,NA,NA,0,0,0,1,0,0,0,1,NA,NA,0.772,4,0.0588235294117647,0.0588235294117647,0.0414155294117647,0.05,0.05,0,0,0,1,1,0,0
"Ivory Coast","2020-06-15",1,"Constitution, articles 73, 101, 105. 
Law 59-231 of November 7, 1959 on the state of emergency.","2020-03-23",NA,0,NA,0,"0",2,1,0,0,0,NA,NA,1,1,0,1,0,0,0,0,0,NA,0.375,2,0.294117647058824,0.294117647058824,0.275735294117647,0.25,0.25,2,0,0,3,3,0,0
"Jamaica","2020-06-13",3,"the Disaster Risk Management Act",NA,NA,0,NA,NA,NA,2,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.69,4,0.117647058823529,0.117647058823529,0.100658823529412,0.1,0.1,2,0,0,0,0,0,0
"Japan","2020-06-24",1,NA,NA,"2020-05-25",1,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.736,3,0,0,0,0,0,0,0,0,0,0,0,0
"Jordan","2020-06-20",1,"Defence Law (based on Article 124 in the Constitution)","2020-03-17",NA,1,"2020-04-01",0,"0",3,NA,0,0,1,"2020-04-15",NA,1,1,1,0,1,1,0,0,NA,NA,0.254,1,0.294117647058824,0.294117647058824,0.222922352941176,0.25,0.25,0,0,0,3,3,2,0
"Kazakhstan","2020-06-10",1,"Constitution (Article 44, point 16), Law on states of emergency (Articles 4,5,6)","2020-03-15","2020-05-11",1,"2020-05-11",0,"0",2,1,0,0,2,"2020-03-15","2020-05-11",0,1,0,1,0,1,0,1,1,"1) draft law on restricting freedom of assembly 2) detention of an activist",0.116,0,0.176470588235294,0.176470588235294,0.072384,0.15,0.15,0,0,0,3,3,0,0
"Kenya","2020-06-08",2,"The Public Health Act (Sections 35 and 36) - that has provisions that deal with a pandemic, was updated on April 3, and the Public Order Act (State Curfew) Order 2020,- that has provisions with how people conduct themselves in the public sphere-, effected by Legal Notice No. 36 of the Kenya Gazette Notice of 26th March 2020. However, the initial measures were enacted by a Presidential Directive (March 15, 2020).","2020-03-15",NA,1,"2020-04-15",1,"0",2,1,0,0,1,"2020-03-13","2020-04-13",0,1,0,1,1,1,0,3,0,NA,0.338,3,0.294117647058824,0.294117647058824,0.263242352941176,0.25,0.25,0,0,0,3,3,0,2
"Kuwait","2020-06-05",5,NA,NA,NA,NA,NA,NA,NA,3,0,2,0,0,NA,NA,0,0,0,0,0,0,0,1,0,NA,0.295,3,0.294117647058824,0.294117647058824,0.244676470588235,0.25,0.25,0,3,0,0,0,2,0
"Kyrgyzstan","2020-06-07",1,"Constitution (Article 64, Chapter 9, Point 2), Constitutional law on states of emergency (Articles 3,4 and 7)","2020-03-25","2020-05-10",1,"2020-05-10",1,"1",0,1,0,0,2,"2020-03-25",NA,0,1,0,2,0,0,0,1,0,NA,0.315,2,0.176470588235294,0.176470588235294,0.152311764705882,0.15,0.15,0,0,0,3,3,0,0
