"country_name","timeperiod","v2x_libdem","pandem","panback","Type1","Type2","Type3","Type4","Type5","Type6","Type7","discrim","ndrights","merepfact","merepgov","merepoth","meinf","mevhar","mephar","govdis","pomviol","emlimit","emlaw","emstart","emend","emlimitdate","emlawapp","emlegapp","leglimit","legdisdate","legresdate","melim","melimstart","melimend","subvar","milinv","time","emname","misclimit"
"Austria","Mar-Jun",0.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Austria","Jul-Sep",0.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Azerbaijan","Mar-Sep",0.07,0.2,0.04557,0,0,1,0,0,0,3,0,0,1,1,1,2,0,1,0,1,1,4,"2020-03-24",NA,"2020-11-04",0,0,2,NA,NA,2,"2020-03-24","2020-11-04",1,0,"2020-09-01","Sanitariya-epidemioloji salamatlıq haqqında AZƏRBAYCAN RESPUBLİKASININ QANUNU","Arrests of opposition leaders and activists in March, April and July 2020"
"Azerbaijan","Mar-Jun",0.07,0.2,0.05208,0,0,1,0,0,0,3,0,0,1,1,1,2,0,1,0,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,0,NA,NA,NA
"Azerbaijan","Jul-Sep",0.07,0.15,0.03906,0,0,0,0,0,0,3,0,0,1,1,1,2,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,0,NA,NA,NA
"Bangladesh","Mar-Sep",0.1,0.25,0.072,0,0,2,0,0,0,3,0,0,1,1,0,0,0,1,0,2,1,7,"2020-03-26","2020-05-31",NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,"2020-06-24",NA,NA
"Bangladesh","Mar-Jun",0.1,0.25,0.09,0,0,2,0,0,0,3,0,0,1,1,0,0,0,1,0,2,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA
"Bangladesh","Jul-Sep",0.1,0.15,0.054,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Belarus","Mar-Sep",0.115,0.35,0.142485,0,0,0,2,0,2,3,0,0,1,1,0,0,0,0,2,0,0,4,"2020-03-25",NA,NA,0,0,0,NA,NA,0,NA,NA,0,0,"2020-09-02","Zakon Respubliki Belarus' ot 7 yanvarya 2012 g. № 340-Z «O sanitarno-epidemiologicheskom blagopoluchii naseleniya"" (Art 7)",NA
"Belarus","Mar-Jun",0.115,0.35,0.142485,0,0,0,2,0,2,3,0,0,1,1,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Belarus","Jul-Sep",0.115,0.35,0.142485,0,0,0,2,0,2,3,0,0,1,1,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Belgium","Mar-Sep",0.822,0.1,0.0438948,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,"2020-03-30",NA,"2020-06-30",1,1,1,NA,NA,0,NA,NA,2,0,"2020-09-02","Special powers, (Article 105 Constitution); 


",NA
"Belgium","Mar-Jun",0.822,0.1,0.0585264,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Belgium","Jul-Sep",0.822,0.05,0.0292632,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Benin","Mar-Sep",0.461,0.25,0.2236311,0,0,0,0,0,2,3,0,0,1,1,0,0,0,0,2,0,NA,6,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,3,0,"2020-09-04",NA,NA
"Benin","Mar-Jun",0.461,0.2,0.1987832,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Benin","Jul-Sep",0.461,0.25,0.248479,0,0,0,0,0,2,3,0,0,1,1,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA
"Bolivia","Mar-Sep",0.306,0.15,0.0637092,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,"2020-03-17",NA,"2020-09-30",0,0,2,NA,NA,2,"2020-03-25","2020-05-14",2,1,"2020-09-22","Código de Salud, aprobado por Decreto Ley Nº 15629, de 18 de julio de 1978","The general elections scheduled to 2020-05-03 were postponed twice and are now supposed to happen on 2020-10-18."
"Bolivia","Mar-Jun",0.306,0.15,0.1274184,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA
"Bolivia","Jul-Sep",0.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,1,NA,NA,NA
